"Stock of motor vehicles by propellant, terms of use, type of vehicle,"
"region and time"

" "," "," "," ","2022M08"
"Petrol"
" ","In households"
" "," ","Vehicles total"
" "," "," ","Region Hovedstaden",492532
" "," "," ","Province Byen København",146147
" "," "," ","Copenhagen",106636
" "," "," ","Frederiksberg",21833
" "," "," ","Dragør",4955
" "," "," ","Tårnby",12723
" "," "," ","Province Københavns omegn",162505
" "," "," ","Albertslund",7615
" "," "," ","Ballerup",15054
" "," "," ","Brøndby",10368
" "," "," ","Gentofte",22871
" "," "," ","Gladsaxe",19731
" "," "," ","Glostrup",7226
" "," "," ","Herlev",8826
" "," "," ","Hvidovre",14954
" "," "," ","Høje-Taastrup",16174
" "," "," ","Ishøj",6191
" "," "," ","Lyngby-Taarbæk",16684
" "," "," ","Rødovre",11849
" "," "," ","Vallensbæk",4962
" "," "," ","Province Nordsjælland",168101
" "," "," ","Allerød",9101
" "," "," ","Egedal",16410
" "," "," ","Fredensborg",14159
" "," "," ","Frederikssund",17316
" "," "," ","Furesø",14103
" "," "," ","Gribskov",16764
" "," "," ","Halsnæs",11747
" "," "," ","Helsingør",21332
" "," "," ","Hillerød",18285
" "," "," ","Hørsholm",9326
" "," "," ","Rudersdal",19558
" "," "," ","Province Bornholm",15779
" "," "," ","Bornholm",15761
" "," "," ","Christiansø",18
" "," "," ","Region Sjælland",286834
" "," "," ","Province Østsjælland",83348
" "," "," ","Greve",17226
" "," "," ","Køge",19624
" "," "," ","Lejre",9959
" "," "," ","Roskilde",28682
" "," "," ","Solrød",7857
" "," "," ","Province Vest- og Sydsjælland",203486
" "," "," ","Faxe",12679
" "," "," ","Guldborgsund",21306
" "," "," ","Holbæk",24661
" "," "," ","Kalundborg",18040
" "," "," ","Lolland",13486
" "," "," ","Næstved",28304
" "," "," ","Odsherred",12929
" "," "," ","Ringsted",11438
" "," "," ","Slagelse",25959
" "," "," ","Sorø",10248
" "," "," ","Stevns",8648
" "," "," ","Vordingborg",15788
" "," "," ","Region Syddanmark",409812
" "," "," ","Province Fyn",171488
" "," "," ","Assens",15548
" "," "," ","Faaborg-Midtfyn",19866
" "," "," ","Kerteminde",9462
" "," "," ","Langeland",4745
" "," "," ","Middelfart",13958
" "," "," ","Nordfyns",11618
" "," "," ","Nyborg",11697
" "," "," ","Odense",61885
" "," "," ","Svendborg",20488
" "," "," ","Ærø",2221
" "," "," ","Province Sydjylland",238324
" "," "," ","Billund",8988
" "," "," ","Esbjerg",37065
" "," "," ","Fanø",1016
" "," "," ","Fredericia",17001
" "," "," ","Haderslev",18234
" "," "," ","Kolding",30414
" "," "," ","Sønderborg",25222
" "," "," ","Tønder",11477
" "," "," ","Varde",16381
" "," "," ","Vejen",13702
" "," "," ","Vejle",38121
" "," "," ","Aabenraa",20703
" "," "," ","Region Midtjylland",410397
" "," "," ","Province Østjylland",275590
" "," "," ","Favrskov",16446
" "," "," ","Hedensted",16891
" "," "," ","Horsens",30322
" "," "," ","Norddjurs",12759
" "," "," ","Odder",8333
" "," "," ","Randers",31765
" "," "," ","Samsø",1468
" "," "," ","Silkeborg",31433
" "," "," ","Skanderborg",20868
" "," "," ","Syddjurs",15517
" "," "," ","Aarhus",89788
" "," "," ","Province Vestjylland",134807
" "," "," ","Herning",27807
" "," "," ","Holstebro",18068
" "," "," ","Ikast-Brande",13304
" "," "," ","Lemvig",6230
" "," "," ","Ringkøbing-Skjern",17294
" "," "," ","Skive",14767
" "," "," ","Struer",6928
" "," "," ","Viborg",30409
" "," "," ","Region Nordjylland",185874
" "," "," ","Province Nordjylland",185874
" "," "," ","Brønderslev",11752
" "," "," ","Frederikshavn",18559
" "," "," ","Hjørring",21025
" "," "," ","Jammerbugt",12787
" "," "," ","Læsø",616
" "," "," ","Mariagerfjord",13526
" "," "," ","Morsø",7188
" "," "," ","Rebild",9928
" "," "," ","Thisted",13295
" "," "," ","Vesthimmerlands",11499
" "," "," ","Aalborg",65699

